,s,f,Ψf,f_L
96,0.0960961,0.80831015,0.8081873,0.8096666666666634
97,0.0970971,0.80874187,0.8086272,0.8156666666666643
98,0.0980981,0.8091746,0.80906826,0.8169999999999974
99,0.0990991,0.8096082,0.8095103,0.8073333333333306
100,0.1001001,0.8100427,0.8099534,0.8096666666666648
101,0.1011011,0.8104782,0.81039757,0.8206666666666635
102,0.1021021,0.8109145,0.81084263,0.8066666666666638
103,0.1031031,0.81135184,0.8112888,0.8173333333333317
104,0.1041041,0.81179,0.81173587,0.8086666666666649
105,0.1051051,0.812229,0.81218386,0.8146666666666645
106,0.1061061,0.8126688,0.8126328,0.8053333333333301
107,0.10710711,0.81310964,0.81308264,0.8163333333333307
108,0.10810811,0.81355125,0.81353337,0.813333333333331
109,0.10910911,0.8139938,0.81398493,0.8136666666666647
110,0.11011011,0.81443703,0.81443745,0.8203333333333303
111,0.11111111,0.81488115,0.8148907,0.8156666666666637
112,0.11211211,0.81532604,0.8153447,0.8189999999999978
113,0.11311311,0.8157718,0.8157996,0.8249999999999981
114,0.11411411,0.8162183,0.8162553,0.8133333333333309
115,0.11511511,0.81666565,0.8167116,0.8203333333333314
116,0.116116114,0.8171137,0.8171687,0.8146666666666634
117,0.117117114,0.8175624,0.81762654,0.8306666666666639
118,0.118118115,0.81801206,0.818085,0.817666666666664
119,0.11911912,0.81846225,0.81854415,0.8226666666666642
120,0.12012012,0.8189133,0.8190041,0.8313333333333296
121,0.12112112,0.819365,0.81946456,0.8289999999999975
122,0.122122124,0.8198175,0.8199257,0.8113333333333297
123,0.123123124,0.82027066,0.8203874,0.8203333333333307
124,0.124124125,0.8207244,0.82084966,0.8173333333333307
125,0.12512513,0.82117903,0.8213126,0.8373333333333297
126,0.12612613,0.8216341,0.8217761,0.817666666666664
127,0.12712713,0.82208985,0.8222401,0.8089999999999967
128,0.12812813,0.82254624,0.8227046,0.8269999999999973
129,0.12912913,0.8230033,0.8231695,0.8256666666666642
130,0.13013013,0.82346094,0.82363504,0.8336666666666636
131,0.13113113,0.8239193,0.82410103,0.8289999999999977
132,0.13213213,0.824378,0.82456744,0.8266666666666636
133,0.13313313,0.8248375,0.82503426,0.8176666666666637
134,0.13413413,0.8252975,0.8255016,0.8256666666666636
135,0.13513513,0.8257581,0.8259693,0.8089999999999979
136,0.13613613,0.8262191,0.8264373,0.8276666666666649
137,0.13713713,0.8266807,0.8269058,0.8206666666666645
138,0.13813815,0.82714283,0.8273746,0.8373333333333304
139,0.13913915,0.8276055,0.8278437,0.8136666666666631
140,0.14014015,0.8280686,0.8283132,0.8273333333333296
141,0.14114115,0.8285322,0.82878304,0.8283333333333311
142,0.14214215,0.8289962,0.8292531,0.8299999999999974
143,0.14314315,0.82946074,0.8297235,0.831333333333329
144,0.14414415,0.82992566,0.8301941,0.8433333333333316
145,0.14514515,0.83039105,0.83066505,0.8356666666666641
146,0.14614615,0.8308568,0.83113617,0.8303333333333301
147,0.14714715,0.831323,0.83160746,0.8226666666666633
148,0.14814815,0.8317896,0.832079,0.8286666666666647
149,0.14914915,0.83225656,0.8325508,0.834666666666664
