,s,f,Ψf,f_L
104,0.104,0.8115547,0.81172264,0.8233333333333304
105,0.105,0.812,0.81217015,0.8019999999999963
106,0.106,0.81244636,0.8126185,0.8189999999999966
107,0.107,0.8128935,0.81306785,0.809999999999997
108,0.108,0.813342,0.81351805,0.8143333333333301
109,0.109,0.8137912,0.8139691,0.8073333333333307
110,0.11,0.81424123,0.81442094,0.8176666666666635
111,0.111,0.8146923,0.81487364,0.8063333333333316
112,0.112,0.81514436,0.8153272,0.8113333333333304
113,0.113,0.81559706,0.8157814,0.8006666666666642
114,0.114,0.8160508,0.81623656,0.8126666666666641
115,0.115,0.8165053,0.81669235,0.8133333333333308
116,0.116,0.81696045,0.8171489,0.8159999999999972
117,0.117,0.81741667,0.8176062,0.8273333333333308
118,0.118,0.8178733,0.8180642,0.835666666666664
119,0.119,0.818331,0.8185229,0.8266666666666646
120,0.12,0.81878936,0.8189821,0.8056666666666641
121,0.121,0.8192484,0.81944203,0.8269999999999984
122,0.122,0.8197081,0.81990266,0.8173333333333308
123,0.123,0.8201685,0.8203639,0.804333333333331
124,0.124,0.8206295,0.8208256,0.8293333333333303
125,0.125,0.821091,0.821288,0.8253333333333304
126,0.126,0.82155335,0.8217509,0.825666666666664
127,0.127,0.8220163,0.82221437,0.8133333333333311
128,0.128,0.82247984,0.8226783,0.8173333333333302
129,0.129,0.82294387,0.8231428,0.8253333333333306
130,0.13,0.8234084,0.8236077,0.8263333333333304
131,0.131,0.82387346,0.82407314,0.8179999999999978
132,0.132,0.82433915,0.82453907,0.8239999999999977
133,0.133,0.8248053,0.8250054,0.8226666666666639
134,0.134,0.82527196,0.8254722,0.8299999999999966
135,0.135,0.825739,0.82593936,0.8189999999999973
136,0.136,0.8262066,0.8264069,0.82233333333333
137,0.137,0.82667434,0.8268748,0.8309999999999975
138,0.138,0.82714283,0.827343,0.8389999999999966
139,0.139,0.82761174,0.8278117,0.8203333333333316
140,0.14,0.8280808,0.82828057,0.8199999999999971
141,0.141,0.82855034,0.82874984,0.8186666666666637
142,0.142,0.8290202,0.82921946,0.8229999999999977
143,0.143,0.82949024,0.82968926,0.8326666666666638
144,0.144,0.82996076,0.8301594,0.8283333333333315
145,0.145,0.8304316,0.8306298,0.8253333333333305
146,0.146,0.83090276,0.8311004,0.8316666666666637
147,0.147,0.83137417,0.83157134,0.8236666666666633
148,0.148,0.8318457,0.83204234,0.8213333333333307
149,0.149,0.83231753,0.8325136,0.8276666666666647
150,0.15,0.83278966,0.832985,0.8296666666666634
151,0.151,0.833262,0.8334566,0.837666666666664
152,0.152,0.8337344,0.8339283,0.821666666666664
153,0.153,0.8342071,0.8344002,0.8286666666666647
154,0.154,0.8346799,0.83487225,0.8273333333333306
155,0.155,0.8351529,0.8353443,0.830666666666664
156,0.156,0.835626,0.8358165,0.8393333333333304
157,0.157,0.83609927,0.83628887,0.8396666666666637
158,0.158,0.8365726,0.8367612,0.833666666666664
159,0.159,0.83704597,0.8372336,0.8409999999999965
160,0.16,0.83751947,0.8377061,0.8343333333333306
161,0.161,0.8379931,0.8381785,0.83133333333333
162,0.162,0.83846676,0.83865106,0.8453333333333307
163,0.163,0.8389404,0.83912355,0.8399999999999977
164,0.164,0.8394142,0.8395961,0.8389999999999962
165,0.165,0.8398879,0.84006864,0.8513333333333302
166,0.166,0.84036154,0.840541,0.8423333333333308
167,0.167,0.8408352,0.84101343,0.8466666666666645
168,0.168,0.84130895,0.84148574,0.8366666666666637
169,0.169,0.84178245,0.84195805,0.8386666666666638
170,0.17,0.8422562,0.8424302,0.8383333333333299
171,0.171,0.8427295,0.8429023,0.8469999999999983
172,0.172,0.8432031,0.8433743,0.8426666666666635
173,0.173,0.8436763,0.84384614,0.8419999999999976
174,0.174,0.8441496,0.84431785,0.8476666666666636
175,0.175,0.84462273,0.84478945,0.8376666666666639
176,0.176,0.8450957,0.8452609,0.842666666666664
177,0.177,0.8455686,0.84573215,0.8389999999999973
178,0.178,0.8460412,0.8462032,0.851666666666663
179,0.179,0.84651375,0.84667414,0.8376666666666637
180,0.18,0.8469861,0.84714484,0.8546666666666638
181,0.181,0.84745824,0.8476153,0.8453333333333298
182,0.182,0.84793025,0.8480855,0.849666666666664
183,0.183,0.84840184,0.8485555,0.8426666666666638
184,0.184,0.84887356,0.8490253,0.8536666666666638
185,0.185,0.8493447,0.8494948,0.8459999999999975
186,0.186,0.8498159,0.8499641,0.8323333333333298
187,0.187,0.85028666,0.85043305,0.8593333333333304
188,0.188,0.8507572,0.85090166,0.8436666666666628
189,0.189,0.85122734,0.8513701,0.8493333333333304
190,0.19,0.8516974,0.8518381,0.8526666666666645
191,0.191,0.852167,0.8523059,0.8503333333333305
192,0.192,0.8526362,0.85277325,0.8543333333333298
193,0.193,0.85310537,0.8532404,0.85633333333333
194,0.194,0.8535741,0.8537071,0.8489999999999973
195,0.195,0.8540425,0.8541734,0.8446666666666637
196,0.196,0.85451037,0.8546394,0.8489999999999975
197,0.197,0.85497797,0.8551049,0.8563333333333307
198,0.198,0.85544515,0.8555702,0.8489999999999976
199,0.199,0.85591215,0.856035,0.8579999999999979
200,0.2,0.85637856,0.8564994,0.8569999999999973
201,0.201,0.8568446,0.8569634,0.8619999999999969
202,0.202,0.8573102,0.85742694,0.8593333333333303
203,0.203,0.85777545,0.85789,0.86133333333333
204,0.204,0.85824025,0.8583527,0.8523333333333302
205,0.205,0.85870445,0.8588149,0.8589999999999975
206,0.206,0.85916847,0.8592767,0.864999999999997
207,0.207,0.85963196,0.85973793,0.8559999999999967
208,0.208,0.860095,0.86019874,0.8543333333333311
209,0.209,0.8605573,0.86065906,0.859333333333331
210,0.21,0.86101925,0.8611188,0.8639999999999975
211,0.211,0.86148083,0.8615781,0.866999999999997
212,0.212,0.8619419,0.8620368,0.8606666666666634
213,0.213,0.8624023,0.8624951,0.8576666666666638
214,0.214,0.86286217,0.8629528,0.867666666666664
215,0.215,0.8633215,0.86340994,0.8653333333333303
216,0.216,0.8637805,0.8638666,0.856666666666664
217,0.217,0.8642388,0.86432266,0.8629999999999979
218,0.218,0.86469656,0.86477816,0.8623333333333304
219,0.219,0.8651536,0.86523306,0.8613333333333303
220,0.22,0.86561036,0.8656873,0.8549999999999977
221,0.221,0.8660664,0.8661411,0.8736666666666639
222,0.222,0.8665218,0.8665942,0.8659999999999967
223,0.223,0.86697656,0.8670467,0.8599999999999977
224,0.224,0.86743075,0.86749864,0.8606666666666639
225,0.225,0.8678843,0.8679499,0.8693333333333303
226,0.226,0.8683374,0.86840063,0.8649999999999974
227,0.227,0.8687897,0.8688506,0.8719999999999964
228,0.228,0.86924136,0.8693,0.8669999999999969
229,0.229,0.8696923,0.8697488,0.8646666666666639
230,0.23,0.8701427,0.8701969,0.8646666666666641
231,0.231,0.8705925,0.8706443,0.8679999999999978
232,0.232,0.8710416,0.871091,0.8693333333333305
233,0.233,0.87148994,0.87153697,0.8623333333333301
234,0.234,0.8719375,0.8719824,0.8633333333333304
235,0.235,0.8723845,0.8724271,0.8806666666666637
236,0.236,0.87283087,0.8728711,0.8653333333333305
237,0.237,0.8732764,0.8733144,0.8753333333333313
238,0.238,0.8737213,0.8737569,0.8763333333333302
239,0.239,0.8741655,0.8741988,0.8769999999999967
240,0.24,0.8746089,0.87463987,0.8706666666666631
241,0.241,0.87505156,0.8750803,0.8683333333333307
242,0.242,0.8754934,0.87552,0.8783333333333297
243,0.243,0.8759346,0.87595886,0.8806666666666643
244,0.244,0.87637496,0.8763971,0.8836666666666635
245,0.245,0.8768148,0.8768344,0.8719999999999973
246,0.246,0.87725365,0.877271,0.8699999999999966
247,0.247,0.87769175,0.87770694,0.8733333333333305
248,0.248,0.8781291,0.87814206,0.872333333333331
249,0.249,0.8785656,0.8785764,0.8779999999999969
250,0.25,0.87900144,0.8790099,0.8869999999999975
251,0.251,0.8794364,0.87944263,0.8769999999999969
252,0.252,0.87987053,0.8798746,0.8836666666666637
253,0.253,0.8803038,0.88030577,0.8726666666666629
254,0.254,0.8807364,0.8807361,0.8839999999999966
255,0.255,0.8811681,0.8811657,0.875666666666664
256,0.256,0.88159907,0.8815944,0.8793333333333306
257,0.257,0.88202894,0.88202226,0.8836666666666635
258,0.258,0.88245827,0.88244927,0.8773333333333304
259,0.259,0.8828866,0.88287556,0.8886666666666632
260,0.26,0.88331425,0.88330096,0.8886666666666638
261,0.261,0.8837408,0.8837255,0.8673333333333304
262,0.262,0.8841666,0.88414925,0.8776666666666643
263,0.263,0.8845915,0.8845721,0.8779999999999971
264,0.264,0.8850156,0.88499415,0.8839999999999976
265,0.265,0.8854387,0.88541526,0.888999999999998
